1,275.8,126.7
2,276.7,165.2
3,280.8,214.1
4,284.4,267.5
5,290.0,302.2
6,294.4,334.8
7,296.6,322.3
8,296.6,275.7
9,293.4,230.1
10,288.8,167.3
11,282.9,131.9
12,279.8,98.5
1,275.8,3.1
2,276.7,3.3
3,280.8,3.6
4,284.4,3.9
5,290.0,3.4
6,294.4,3.0
7,296.6,2.7
8,296.6,2.7
9,293.4,2.8
10,288.8,3.0
11,282.9,2.9
12,279.8,3.1
1,1.7962456769103596,126.8131961398439
2,2.656865895458452,165.31294918041849
3,6.83293815760652,214.1935875617136
4,10.37142627472116,267.5012170931965
5,15.994062553450647,302.24856656967023
6,20.371647466600848,334.8122045364751
7,22.557704863620756,322.3540815502095
8,22.614658050798198,275.7935796275686
9,19.360140783003715,230.20659219786825
10,14.760273725830189,167.46074430832277
11,8.9269061028225,132.12923788821922
12,5.827454707672246,98.56671671405077
