1,478.4,29.9,210.9
2,483.8,30.2,223.8
3,472.2,30.4,218.5
4,483.9,31.4,239.2
5,454.5,31.1,209.2
6,492.0,31.3,216.6
7,506.7,31.2,219.0
8,508.4,31.3,223.1
9,519.6,31.5,229.3
10,542.7,31.5,243.4
11,522.3,31.7,238.0
12,548.0,32.2,235.7
13,490.9,30.7,233.1
14,494.8,31.2,249.2
15,485.8,31.4,235.3
16,509.6,31.7,225.6
17,540.5,31.2,229.8
18,526.7,30.6,223.8
19,550.1,30.9,226.8
20,547.0,31.4,234.3
21,521.2,31.2,224.3
22,529.5,31.0,225.2
23,537.9,31.0,228.3
24,517.4,31.2,229.4
25,508.6,31.5,226.3
26,529.6,31.6,231.7
27,540.6,31.6,235.0
28,547.8,31.4,236.6
29,538.2,31.1,236.4
30,513.5,30.8,236.4
31,501.8,29.8,220.6
1,287.2,29.9,3.0
2,286.8,30.2,2.9
3,286.5,30.4,2.8
4,286.8,31.4,2.8
5,287.0,31.1,2.9
6,287.1,31.3,3.1
7,286.8,31.2,3.2
8,286.5,31.3,3.1
9,287.5,31.5,3.2
10,287.7,31.5,3.2
11,288.0,31.7,3.2
12,288.1,32.2,3.5
13,289.1,30.7,3.0
14,288.7,31.2,3.0
15,288.1,31.4,2.9
16,287.7,31.7,3.2
17,287.4,31.2,3.2
18,286.7,30.6,3.3
19,286.6,30.9,3.4
20,286.5,31.4,3.4
21,287.2,31.2,3.3
22,287.2,31.0,3.3
23,287.4,31.0,3.2
24,287.5,31.2,3.1
25,287.8,31.5,3.1
26,287.2,31.6,3.2
27,286.9,31.6,3.3
28,286.9,31.4,3.2
29,287.7,31.1,3.2
30,288.3,30.8,3.1
31,288.1,29.8,3.1
0,739.4,34.6,136.3
1,556.5,31.7,55.9
2,411.3,29.4,17.4
3,340.9,27.9,2.4
4,305.0,27.0,0.1
5,276.5,26.3,0.0
6,267.2,25.8,0.0
7,254.8,25.3,0.0
8,242.5,24.8,0.0
9,239.2,24.2,0.0
10,236.7,23.3,1.6
11,232.3,22.8,15.1
12,240.4,23.5,60.6
13,258.9,25.3,143.0
14,310.4,28.4,267.5
15,406.0,31.9,406.9
16,541.5,35.2,536.6
17,678.8,37.8,635.0
18,809.3,39.7,684.0
19,926.8,40.9,677.5
20,1010.2,41.3,624.1
21,1043.7,41.0,524.7
22,1014.0,39.8,394.4
23,912.3,37.6,257.5
